# target name, total intrachromosomal interactions, total interchromosomal interactions, total interactions, interactions within 5Mb, interactions within 1Mb
DS_enhancer	126432	22719	149151	103287	96586
Elp4	100856	17035	117891	76622	67371
Pax6	35431	9842	45273	26674	23729
US_enhancer	67771	5449	73220	56234	53104
